Cluster,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
1,2076.8,1891.6,88.26,10853.0,93.12,9342.2,91.94,1550.4,66.48,61.36,61.58,65.18,29019.4,6703.0,13879.0,8652.4,1232.0,18067.8,50305.8,722.2,323.6,398.2,549.2,335.2,256.8,214.2,233.8,101.2,806.0,81.8,256.4,572.8,1156.4,31.87,892.6,78.8,63.8,39.4,14.6,150.6,4.16,110.4,5.4,13.8,11.2,7.8,2.0,17.4,6.66,38.12,0.13,0.33,81.1,0.12,5.5,5.22,1594.0,53.3,317.8,25179.8,23512.4,106.4,148.8
2,1646.63,1380.16,84.61,8084.32,91.16,7717.53,89.69,1409.79,58.68,43.51,43.33,56.64,24560.68,7092.84,11481.68,6182.05,962.32,14552.0,39441.68,539.26,214.11,275.95,555.79,336.53,265.79,240.42,228.79,86.58,821.58,99.68,239.79,713.0,908.58,24.73,689.21,48.79,61.05,30.53,13.26,111.26,3.04,81.84,5.0,6.89,9.95,5.79,1.79,13.7,4.75,34.75,0.11,0.33,60.01,0.11,3.36,3.22,1491.11,51.52,410.21,20781.05,19082.42,64.84,104.58
3,1066.14,867.46,76.84,5003.18,86.63,5122.79,84.75,1227.57,49.3,25.12,25.32,43.86,19230.75,6937.93,8374.5,4116.39,608.21,9989.46,25828.32,351.54,114.21,234.5,608.89,366.46,304.86,304.86,232.29,71.75,913.75,136.39,271.36,976.14,657.64,18.1,461.43,36.29,40.93,38.29,12.11,56.04,1.54,37.07,4.46,4.0,5.5,4.21,0.79,10.34,3.08,29.79,0.08,0.27,36.33,0.09,-3.32,-3.39,1420.82,48.51,463.68,15091.54,13342.11,36.46,75.86
4,1452.38,1152.38,80.97,6806.75,89.15,6392.12,87.16,1282.12,52.86,42.79,38.68,51.17,22551.19,7418.81,9768.31,5587.06,939.88,12893.81,35157.88,477.88,208.88,280.81,663.12,402.56,310.0,298.69,264.0,100.44,973.12,123.81,287.5,863.31,903.75,24.28,669.25,45.19,60.38,39.0,16.75,102.0,2.75,74.44,6.12,5.81,7.5,6.06,2.06,13.62,4.68,34.41,0.11,0.31,58.51,0.11,-0.38,-0.44,1624.25,50.09,430.62,18284.38,16539.94,68.5,90.88
5,1225.04,997.96,78.96,5851.18,87.92,5757.71,85.88,1309.68,51.94,32.8,32.44,48.25,20868.71,7135.64,9251.14,4678.36,720.11,11096.57,28274.36,388.36,141.57,259.25,600.46,362.36,310.04,292.32,230.43,77.71,910.5,126.25,280.25,938.61,749.5,20.86,545.71,38.79,46.04,35.86,14.14,80.54,2.25,55.71,5.71,4.64,7.57,5.32,1.57,11.76,3.98,33.9,0.1,0.3,45.4,0.1,1.56,1.52,1493.29,50.24,431.36,16731.0,15001.79,44.82,98.79
