Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass,Cluster,Cluster_Name,PCA1,PCA2
Ipswich Town,Premier League,team,935,865,78.0,5157,88.4,5115,85.4,1021,46.7,24.2,21.2,40.6,19091,7764,7504,4032,605,9384,26144,330,150,277,589,340,303,294,214,81,892,185,251,1102,658,17.32,458,51,30,33,14,58,1.53,46,2,6,2,2,0,9.84,3.16,32.1,0.09,0.28,34.4,0.09,0.6,0.2,1437,50.9,430,14775,13146,44,60,4,Defensive Blockers,-5.847967417679599,-1.0904349648853298
Juventus,Serie A,team,1561,1390,86.0,8378,92.0,8078,91.1,1473,60.6,35.9,33.2,57.2,25202,7729,11766,5913,856,15347,45140,558,216,309,606,353,215,273,245,88,821,139,265,723,908,23.89,690,55,58,31,14,94,2.47,69,5,8,7,3,2,13.39,4.61,34.4,0.1,0.29,51.0,0.09,5.0,3.7,1516,49.8,480,21231,19605,48,101,6,Efficient Attackers,4.628572843325445,-0.46131404469778853
Las Palmas,La Liga,team,1210,1059,78.8,6396,88.2,6214,85.5,1395,50.3,26.3,26.5,50.7,22497,7809,10353,4511,669,11365,28603,346,113,239,619,370,321,308,253,58,940,139,295,971,741,19.5,543,39,39,46,9,68,1.79,54,2,2,5,4,1,10.76,3.53,32.8,0.09,0.26,36.3,0.08,1.7,1.8,1454,48.5,452,18209,16234,49,117,3,Defensive Stability First,-3.2251064863663177,0.0754592270778135
Lazio,Serie A,team,1588,1374,84.0,6959,91.0,7447,89.7,1670,61.2,38.5,34.7,55.1,23200,6760,11033,5654,928,13530,39821,587,189,296,520,319,295,234,224,62,815,90,223,718,954,25.11,712,49,76,32,18,103,2.71,76,4,7,10,5,1,13.89,4.87,35.0,0.1,0.29,57.2,0.1,2.8,2.0,1439,49.1,425,19521,17715,72,118,6,Efficient Attackers,4.572365423357605,-1.6239968890863057
Le Havre,Ligue 1,team,1051,786,78.8,4445,87.2,5289,86.4,1156,53.0,24.4,25.8,43.1,17975,6737,7822,3637,581,9506,26445,347,93,233,621,387,324,326,212,83,945,131,231,987,588,17.29,386,32,45,53,15,62,1.82,38,3,4,8,8,1,9.97,2.85,28.6,0.08,0.29,41.4,0.1,-4.4,-5.4,1399,50.8,379,14115,12577,24,82,0,Possession Builders,-5.948945513194017,-0.4709824700644443
Lecce,Serie A,team,1071,852,76.2,4757,86.5,5029,84.2,1465,51.2,24.5,20.5,43.8,19445,7211,8380,4085,605,9704,25490,349,121,237,627,372,285,315,250,62,912,144,263,1042,777,20.45,547,38,45,50,20,47,1.24,36,3,1,4,3,0,11.84,3.13,26.4,0.05,0.2,34.6,0.07,-7.6,-7.8,1484,50.9,466,15087,13201,36,84,0,Possession Builders,-6.393269939818655,1.0313476790496918
Leganés,La Liga,team,1030,796,75.5,5038,87.9,4716,84.2,1169,42.7,23.3,21.8,42.6,19312,7029,8720,3764,482,9782,24033,364,105,302,633,384,332,301,250,82,965,157,279,1201,608,16.0,399,50,35,51,16,73,1.92,48,3,9,4,7,2,9.08,2.89,31.9,0.1,0.3,36.0,0.09,2.0,2.4,1500,43.5,503,14840,13035,48,91,0,Possession Builders,-6.132925655249177,1.0253143077804021
Leicester City,Premier League,team,1082,953,79.7,6703,89.6,5797,87.0,1073,45.3,25.1,24.1,45.4,21748,8066,9845,4048,632,12276,30421,365,143,264,728,431,327,361,278,89,1055,198,307,987,585,15.39,427,44,26,34,5,56,1.47,37,4,6,5,4,0,8.74,2.76,31.6,0.09,0.3,32.6,0.09,0.4,0.6,1478,46.5,420,17486,15728,52,47,3,Defensive Stability First,-5.075914587454745,1.8436867079999115
Lens,Ligue 1,team,1451,1117,81.6,7330,89.3,5806,86.9,1219,56.4,36.2,41.1,54.1,22167,6346,10186,5833,848,12325,30074,479,122,249,606,365,321,264,233,109,927,101,286,705,859,25.26,647,42,66,22,12,65,1.91,47,2,5,8,2,1,14.24,4.35,30.6,0.07,0.24,51.8,0.1,-11.8,-13.3,1576,52.1,499,18173,16605,59,78,3,Defensive Stability First,0.2979775607663735,1.7429026910082028
Leverkusen,Bundesliga,team,1692,1610,84.8,9397,91.9,7044,88.4,1397,58.8,41.9,52.1,59.2,25098,5876,12171,7188,918,13865,35710,496,181,254,395,259,234,153,163,79,629,77,225,676,910,26.76,673,55,67,32,11,124,3.65,90,8,8,13,4,1,14.68,5.32,36.3,0.13,0.37,56.9,0.11,13.1,15.0,1463,52.5,325,21589,19979,67,114,5,Overperforming Finishers,7.830260256262841,-6.248940730798836
Lille,Ligue 1,team,1616,1393,85.0,7248,90.3,7757,90.5,1382,62.7,35.1,40.0,57.6,23278,6099,11352,5991,854,13642,37395,512,158,283,626,356,271,241,273,112,897,74,228,637,769,22.62,582,33,52,31,9,84,2.47,51,4,4,14,9,2,12.47,4.53,36.3,0.11,0.29,54.7,0.12,-2.7,-2.5,1535,52.8,410,19728,18220,42,101,6,Efficient Attackers,3.6244333493816727,-0.16681565309457208
Liverpool,Premier League,team,1924,1583,84.1,8615,91.8,7893,88.6,1412,55.4,61.6,54.3,57.7,25905,7285,11575,7274,1315,14931,41047,558,322,301,642,391,299,271,267,104,941,97,270,724,1151,30.29,881,82,73,27,18,147,3.87,111,7,12,10,6,1,16.82,5.66,33.6,0.12,0.35,82.2,0.12,2.8,0.8,1621,52.5,430,21758,19998,69,128,2,High-Tempo Elite Attack,9.770974883972158,2.9803523036602986
Lyon,Ligue 1,team,1615,1215,84.3,7944,90.9,6605,89.6,1102,55.7,44.4,52.5,56.4,22636,6644,10377,5810,999,13430,36807,483,201,238,576,340,282,257,230,89,858,113,233,695,802,23.59,637,34,51,24,4,114,3.35,90,2,7,9,6,0,12.76,5.09,39.9,0.12,0.31,60.3,0.12,1.7,1.5,1422,47.9,407,19063,17487,61,112,6,Efficient Attackers,3.9253902985147016,-1.6204925239020067
Mainz 05,Bundesliga,team,1286,1038,75.9,5681,86.6,5218,83.8,1280,47.9,37.5,45.0,50.4,20675,6705,9124,5015,782,10562,22087,334,119,214,564,325,352,234,247,83,916,128,291,947,736,21.65,557,30,42,30,10,93,2.74,75,2,0,9,6,1,12.26,4.18,34.1,0.12,0.35,50.1,0.12,2.9,2.0,1545,47.0,408,16434,14771,43,73,9,Solid Mid-Block Teams,-1.7624129419030696,-0.9533793107997276
Mallorca,La Liga,team,1184,973,77.7,5538,88.0,5349,84.8,1466,52.3,26.5,28.3,46.8,20649,7168,9299,4391,635,10945,26760,409,85,255,584,361,326,305,211,68,910,153,236,1161,684,18.0,471,30,48,33,6,60,1.58,45,8,0,2,4,1,10.05,2.82,28.0,0.08,0.28,38.8,0.09,-4.8,-4.9,1523,52.5,466,16224,14337,44,93,4,Defensive Blockers,-4.856316299108896,-0.7780325278645971
Manchester City,Premier League,team,1944,1685,88.1,11071,92.9,8884,91.5,1281,62.8,54.2,53.8,61.3,28103,6503,12076,9753,1348,18077,56163,863,404,377,497,299,229,183,216,98,726,89,242,619,1096,28.84,852,68,56,41,10,125,3.29,95,3,11,10,4,2,15.87,5.47,34.5,0.11,0.33,68.1,0.11,2.9,3.1,1437,48.1,287,24443,22822,86,90,2,High-Tempo Elite Attack,12.181009086431589,-1.6117389598393275
Manchester Utd,Premier League,team,1448,1141,82.5,8233,90.2,6855,88.2,1257,51.6,39.7,35.6,53.5,24734,8593,10460,5908,967,15116,37992,475,230,252,817,493,358,394,305,118,1175,107,279,759,939,24.71,711,38,61,36,15,70,1.84,45,4,5,6,6,4,13.79,4.42,32.1,0.07,0.23,52.6,0.1,-10.6,-11.4,1736,49.9,403,20415,18750,94,107,3,Defensive Stability First,1.586745965767265,7.655785637741618
