Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
Leganés,La Liga,opponent,1675,1363,80.7,7566,88.9,6971,86.6,1403,51.8,40.9,42.8,57.4,24252,6747,11160,6562,957,13277,38008,561,191,304,577,351,279,247,253,77,856,80,211,768,1015,26.71,737,56,65,39,18,92,2.42,56,9,5,11,10,1,14.82,4.42,29.8,0.08,0.27,59.4,0.1,-6.4,-7.1,1568,56.5,492,20203,18149,52,128
Leicester City,Premier League,opponent,1755,1418,83.4,8208,90.0,7627,88.5,1431,59.2,52.2,51.2,54.6,25340,7128,11349,7106,1214,14685,39044,534,236,359,640,411,269,223,288,129,909,95,260,807,1136,29.89,827,68,79,49,25,134,3.53,105,7,5,12,5,0,16.82,5.39,32.1,0.12,0.36,71.9,0.11,5.1,5.2,1655,53.5,403,21079,19351,60,133
Lens,Ligue 1,opponent,1095,886,79.9,5800,87.8,5360,87.1,1062,50.0,29.7,29.0,45.9,19947,6777,8799,4591,684,10605,28614,454,167,280,638,361,361,296,247,95,999,144,299,942,662,19.47,487,36,40,36,13,67,1.97,42,4,4,7,8,2,10.85,3.91,36.0,0.08,0.23,45.3,0.11,-6.3,-7.3,1473,47.9,381,15716,14079,37,51
Leverkusen,Bundesliga,opponent,984,862,78.5,5341,88.3,4827,85.6,1109,49.4,22.8,28.3,40.8,18556,7087,7890,3728,560,10192,23558,333,99,173,546,313,352,310,183,53,898,145,272,933,579,17.03,412,28,37,32,13,66,1.94,40,3,7,7,6,3,9.71,3.82,39.4,0.11,0.27,36.2,0.1,2.8,1.9,1379,47.5,368,14768,13319,39,63
Lille,Ligue 1,opponent,945,696,80.4,5204,88.9,5188,87.6,1116,51.2,29.0,29.5,42.4,18455,7264,7928,3473,601,10360,26115,318,147,243,588,364,374,300,229,59,962,113,275,777,578,17.0,419,37,32,23,21,60,1.76,42,3,2,7,4,2,9.79,3.59,36.6,0.09,0.25,42.5,0.12,-7.5,-8.4,1437,47.2,392,14644,13118,37,97
Liverpool,Premier League,opponent,1091,842,79.1,5991,89.1,5211,86.1,1078,47.9,29.4,25.2,42.3,20431,8090,8088,4492,779,10760,32543,407,241,316,660,402,320,358,228,74,980,183,279,1094,659,17.34,491,40,38,39,7,66,1.74,45,7,4,5,4,1,10.13,3.58,35.3,0.1,0.28,38.6,0.1,0.4,1.1,1576,47.5,371,15957,14217,66,73
Lyon,Ligue 1,opponent,1135,882,80.9,5510,88.7,4982,86.7,1128,55.5,33.0,30.0,43.6,18656,6330,8014,4506,734,9503,27283,391,171,285,558,345,319,303,181,74,877,115,314,864,790,23.24,564,58,48,45,13,79,2.32,52,5,9,7,5,1,13.15,4.79,36.5,0.1,0.26,45.7,0.1,0.3,-0.3,1425,52.1,387,14734,13176,57,106
Mainz 05,Bundesliga,opponent,1123,1061,76.2,5321,85.5,5441,84.2,1276,48.0,31.2,39.5,49.6,20500,7086,8870,4721,774,10118,22409,329,132,212,547,349,303,263,212,72,850,119,316,1046,807,23.74,567,21,83,36,11,72,2.12,44,9,2,10,6,1,13.5,4.26,31.6,0.08,0.27,48.1,0.1,-5.1,-5.6,1452,53.0,349,16234,14482,48,58
Mallorca,La Liga,opponent,1587,1233,80.3,6786,88.9,6376,85.4,1438,53.4,36.0,38.6,53.2,22970,6645,10519,6025,901,12758,35251,462,189,243,637,402,272,269,287,81,909,87,251,947,1007,26.5,755,51,64,34,16,73,1.92,57,3,4,5,2,2,14.87,4.26,28.7,0.07,0.25,46.8,0.08,-3.8,-4.5,1546,47.5,451,18666,16782,43,136
Manchester City,Premier League,opponent,912,784,81.9,5940,90.9,5254,89.1,1184,52.6,37.2,29.4,38.7,19488,8514,7370,3783,699,10841,27469,343,164,235,696,399,310,418,214,64,1006,172,290,956,626,16.47,483,29,32,19,12,76,2.0,59,5,5,1,5,1,9.24,3.26,35.3,0.11,0.31,47.7,0.13,-5.7,-6.6,1319,51.9,387,15459,14002,67,92
Manchester Utd,Premier League,opponent,1184,1064,80.3,6938,88.9,5842,86.8,1071,48.0,38.4,32.2,46.5,22105,7059,9848,5437,800,12263,33543,529,184,323,676,414,325,315,257,104,1001,164,311,858,714,18.79,498,50,54,38,10,86,2.26,61,6,5,9,4,1,10.82,3.82,35.3,0.12,0.34,53.8,0.13,-1.8,-1.8,1690,50.1,385,17770,16138,61,73
Marseille,Ligue 1,opponent,872,805,79.8,4796,88.6,4565,86.9,1024,52.0,31.5,25.0,36.7,16997,6352,7403,3418,527,8945,22546,277,155,198,613,372,335,270,245,98,948,128,276,784,537,15.79,376,30,31,32,18,81,2.38,55,4,8,5,7,2,9.41,3.79,40.3,0.13,0.33,45.2,0.13,-0.2,1.1,1452,44.4,390,13334,11915,62,77
Milan,Serie A,opponent,1228,1010,83.0,5936,91.2,6145,89.2,1330,56.0,33.5,28.1,46.1,20310,7151,8891,4491,679,11742,33379,452,150,234,597,339,291,309,224,64,888,160,204,803,776,20.42,578,51,38,28,18,71,1.87,50,6,3,6,5,1,11.29,3.68,32.6,0.09,0.28,41.3,0.1,-1.3,-0.7,1348,47.4,447,16519,14811,60,122
Monaco,Ligue 1,opponent,1218,862,77.6,5574,87.7,4552,82.5,1135,52.2,26.4,24.0,45.0,19030,6789,8295,4152,588,9441,25261,389,133,285,641,389,368,306,257,78,1009,130,261,892,586,17.24,450,34,29,19,13,68,2.0,48,3,5,8,3,1,9.79,3.68,37.5,0.11,0.3,34.8,0.1,6.2,5.3,1624,49.7,470,14908,13223,45,121
