"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Att","Live_Pass Types","Dead_Pass Types","FK_Pass Types","TB_Pass Types","Sw_Pass Types","Crs_Pass Types","TI_Pass Types","CK_Pass Types","In_Corner Kicks","Out_Corner Kicks","Str_Corner Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Matches","url"
38,"Leon Bailey","/en/players/3a233281/Leon-Bailey","jm JAM","MF,FW","Aston Villa",25,1997,23,790,745,40,2,11,7,75,9,29,20,0,0,573,5,38,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
39,"Stefan Bajcetic","/en/players/32e8417f/Stefan-Bajcetic","es ESP","MF","Liverpool",18,2004,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
40,"George Baldock","/en/players/394854c4/George-Baldock","gr GRE","DF","Sheffield Utd",30,1993,10.8,397,335,60,2,0,0,18,58,0,0,0,0,291,2,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
41,"Carlos Baleba","/en/players/a1390d2f/Carlos-Baleba","cm CMR","MF","Brighton",19,2004,14.7,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
42,"Fodé Ballo-Touré","/en/players/f449640d/Fode-Ballo-Toure","sn SEN","DF,MF","Fulham",26,1997,0.8,78,57,20,2,0,0,4,18,0,0,0,0,56,1,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
43,"Shandon Baptiste","/en/players/2886c9b5/Shandon-Baptiste","gd GRN","MF","Brentford",25,1998,2.5,90,87,3,0,0,0,3,1,0,0,0,0,66,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
44,"Valentín Barco","/en/players/b9f282ec/Valentin-Barco","ar ARG","DF,FW","Brighton",19,2004,3.4,233,204,28,5,2,1,30,15,8,3,2,2,179,1,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
45,"Ross Barkley","/en/players/3a24769f/Ross-Barkley","eng ENG","MF","Luton Town",29,1993,29.1,1474,1329,139,94,4,24,45,14,16,8,8,0,1218,6,31,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
46,"Harvey Barnes","/en/players/3ea50f67/Harvey-Barnes","eng ENG","FW,MF","Newcastle Utd",25,1997,8.9,272,262,8,2,1,2,12,4,0,0,0,0,208,2,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
47,"Chris Basham","/en/players/1aa84968/Chris-Basham","eng ENG","DF,MF","Sheffield Utd",35,1988,3.6,138,125,13,1,0,1,4,12,0,0,0,0,103,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
48,"Calvin Bassey","/en/players/a36524bf/Calvin-Bassey","ng NGA","DF","Fulham",23,1999,25.6,1674,1582,91,34,0,12,3,3,0,0,0,0,1440,1,20,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
49,"Owen Beck","/en/players/a011a1e9/Owen-Beck","wls WAL","DF","Liverpool",20,2002,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
50,"Donny van de Beek","/en/players/50dc94ce/Donny-van-de-Beek","nl NED","DF","Manchester Utd",26,1997,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
51,"Amari'i Bell","/en/players/399e9474/Amarii-Bell","jm JAM","DF","Luton Town",29,1994,19.1,835,783,48,15,2,3,13,29,0,0,0,0,645,4,23,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
52,"Jean-Ricner Bellegarde","/en/players/10f0fdd3/Jean-Ricner-Bellegarde","fr FRA","MF,FW","Wolves",25,1998,10.6,314,297,15,4,1,0,30,1,6,3,3,0,241,2,11,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
53,"Anis Ben Slimane","/en/players/9ade9ce1/Anis-Ben-Slimane","tn TUN","MF","Sheffield Utd",22,2001,4.7,139,129,7,1,1,0,0,0,0,0,0,0,92,3,7,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
54,"Saïd Benrahma","/en/players/5a04fd92/Said-Benrahma","dz ALG","FW,MF","West Ham",27,1995,6.9,257,253,2,2,5,0,17,0,0,0,0,0,193,2,9,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
55,"Rodrigo Bentancur","/en/players/3b8674e6/Rodrigo-Bentancur","uy URU","MF","Tottenham",26,1997,11.2,800,786,10,9,4,0,9,0,0,0,0,0,674,4,26,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
56,"Daniel Bentley","/en/players/68db6358/Daniel-Bentley","eng ENG","GK","Wolves",30,1993,4.3,144,98,46,13,0,0,0,0,0,0,0,0,96,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
57,"Jóhann Berg Guðmundsson","/en/players/f72293fc/Johann-Berg-Gudmundsson","is ISL","MF,FW","Burnley",32,1990,13.2,544,465,77,28,4,5,70,7,39,18,12,5,396,2,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
58,"Sander Berge","/en/players/d0b6129f/Sander-Berge","no NOR","MF","Burnley",25,1998,33.4,1562,1529,31,21,7,10,12,1,0,0,0,0,1376,2,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
59,"Luke Berry","/en/players/2aaadf33/Luke-Berry","eng ENG","MF,DF","Luton Town",31,1992,3.6,99,83,16,4,0,0,8,2,6,5,1,0,64,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
60,"Beto","/en/players/ed5c0319/Beto","gw GNB","FW","Everton",25,1998,10.6,180,179,1,0,1,1,5,1,0,0,0,0,108,0,6,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
61,"Jordan Beyer","/en/players/9af1f9ff/Jordan-Beyer","de GER","DF","Burnley",23,2000,13.7,861,840,19,14,1,5,0,4,0,0,0,0,766,2,9,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
62,"Philip Billing","/en/players/d328a254/Philip-Billing","dk DEN","MF","Bournemouth",27,1996,15.5,537,518,17,4,0,6,29,5,6,3,1,0,404,2,17,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
63,"Yves Bissouma","/en/players/6c203af0/Yves-Bissouma","ml MLI","MF","Tottenham",26,1996,23,1842,1787,51,48,3,4,1,3,0,0,0,0,1689,4,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
64,"Benicio Boaitey","/en/players/4c5835e6/Benicio-Boaitey","eng ENG","FW,DF","Brighton",19,2004,0.4,20,19,1,0,0,0,0,1,0,0,0,0,13,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
65,"Oscar Bobb","/en/players/eed2427e/Oscar-Bobb","no NOR","FW,MF","Manchester City",20,2003,3.4,177,169,8,3,3,0,5,4,1,0,0,0,155,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
66,"Jayden Bogle","/en/players/ae5019e6/Jayden-Bogle","eng ENG","DF","Sheffield Utd",23,2000,31,969,803,164,8,1,3,40,155,0,0,0,0,684,2,32,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
67,"Willy Boly","/en/players/a4ac4b8f/Willy-Boly","ci CIV","DF","Nott'ham Forest",32,1991,16,671,599,69,13,1,1,1,56,0,0,0,0,502,3,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
68,"Sven Botman","/en/players/ccce7025/Sven-Botman","nl NED","DF","Newcastle Utd",23,2000,15.3,1017,981,36,32,0,5,0,2,0,0,0,0,921,0,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
69,"Jarrod Bowen","/en/players/79c84d1c/Jarrod-Bowen","eng ENG","FW","West Ham",26,1996,33.5,702,641,59,2,5,3,75,3,32,27,0,0,484,2,52,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
70,"Conor Bradley","/en/players/bbd67769/Conor-Bradley","nir NIR","DF","Liverpool",20,2003,8.4,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
71,"Jarrad Branthwaite","/en/players/c1949191/Jarrad-Branthwaite","eng ENG","DF","Everton",21,2002,34.6,1385,1366,13,6,0,6,1,7,0,0,0,0,1105,6,12,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
72,"Ben Brereton","/en/players/57827369/Ben-Brereton","cl CHI","FW,MF","Sheffield Utd",24,1999,12.3,266,247,19,0,0,0,9,4,1,0,0,0,201,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
73,"Rhian Brewster","/en/players/30e81a88/Rhian-Brewster","eng ENG","FW,MF","Sheffield Utd",23,2000,3.8,76,73,3,0,0,0,3,0,0,0,0,0,52,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
74,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Chelsea",21,2001,5,94,87,7,1,0,0,1,0,0,0,0,0,83,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
75,"Armando Broja","/en/players/97220da2/Armando-Broja","al ALB","FW","Fulham",21,2001,1,27,26,1,0,0,0,1,0,0,0,0,0,19,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
76,"Andre Brooks","/en/players/5f346071/Andre-Brooks","eng ENG","MF,DF","Sheffield Utd",19,2003,10.4,260,251,9,2,0,2,8,5,0,0,0,0,196,0,12,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
77,"David Brooks","/en/players/dc4cae05/David-Brooks","wls WAL","FW,MF","Bournemouth",26,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
78,"Jacob Brown","/en/players/ca18c8f1/Jacob-Brown","sct SCO","MF,FW","Luton Town",25,1998,11.3,247,238,7,0,0,0,10,6,0,0,0,0,136,2,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
79,"Josh Brownhill","/en/players/47369df8/Josh-Brownhill","eng ENG","MF","Burnley",27,1995,25,1106,998,103,29,4,3,57,16,50,23,8,2,850,5,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
80,"Jacob Bruun Larsen","/en/players/4e204552/Jacob-Bruun-Larsen","dk DEN","MF,FW","Burnley",24,1998,13.9,526,455,69,15,1,3,62,5,46,14,17,2,378,2,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
81,"Hugo Bueno","/en/players/bfc3b3a0/Hugo-Bueno","es ESP","DF,MF","Wolves",20,2002,8.2,406,358,46,1,0,1,29,45,0,0,0,0,318,2,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
82,"Santiago Bueno","/en/players/edc98fac/Santiago-Bueno","uy URU","DF","Wolves",24,1998,9.1,480,468,12,7,0,1,2,2,0,0,0,0,426,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
83,"Facundo Buonanotte","/en/players/468a7a91/Facundo-Buonanotte","ar ARG","FW,MF","Brighton",18,2004,15.2,478,467,11,6,1,1,6,3,1,1,0,0,404,0,9,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
84,"Reece Burke","/en/players/a681b7b7/Reece-Burke","eng ENG","DF","Luton Town",26,1996,18.4,719,689,29,9,0,2,13,20,0,0,0,0,547,1,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
85,"Dan Burn","/en/players/b2d31e83/Dan-Burn","eng ENG","DF","Newcastle Utd",31,1992,30.3,1667,1471,190,38,1,4,11,150,0,0,0,0,1351,6,25,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
86,"Mason Burstow","/en/players/dab84ad2/Mason-Burstow","eng ENG","FW","Chelsea",19,2003,0.1,4,3,1,0,0,0,0,0,0,0,0,0,3,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
87,"Moisés Caicedo","/en/players/16264a81/Moises-Caicedo","ec ECU","MF","Chelsea",21,2001,31.8,2119,2065,45,39,12,12,10,3,0,0,0,0,1907,9,29,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
88,"Tom Cairney","/en/players/a8748947/Tom-Cairney","sct SCO","MF","Fulham",32,1991,16.5,1272,1239,27,15,2,1,25,0,2,1,1,0,1126,6,13,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
89,"Dominic Calvert-Lewin","/en/players/59e6e5bf/Dominic-Calvert-Lewin","eng ENG","FW","Everton",26,1997,24.1,440,437,1,0,1,0,3,1,0,0,0,0,248,2,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
90,"Thomas Cannon","/en/players/4506aec5/Thomas-Cannon","ie IRL","FW","Everton",20,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
91,"Diego Carlos","/en/players/b4a014b1/Diego-Carlos","br BRA","DF","Aston Villa",30,1993,20.2,1340,1293,47,41,0,6,1,0,0,0,0,0,1184,0,4,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
92,"Cesare Casadei","/en/players/fb920f3a/Cesare-Casadei","it ITA","FW,MF","Chelsea",20,2003,0.9,65,65,0,0,0,0,0,0,0,0,0,0,53,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
93,"Casemiro","/en/players/4d224fe8/Casemiro","br BRA","MF,DF","Manchester Utd",31,1992,22,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
94,"Kaelan Casey","/en/players/cd4b2c5f/Kaelan-Casey","eng ENG","DF","West Ham",18,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
95,"Matty Cash","/en/players/2389cdc2/Matty-Cash","pl POL","DF","Aston Villa",25,1997,23.8,1225,1043,181,24,0,3,39,157,0,0,0,0,985,1,24,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
96,"Timothy Castagne","/en/players/197640fd/Timothy-Castagne","be BEL","DF","Fulham",27,1995,29.3,1662,1373,286,27,2,2,50,259,0,0,0,0,1350,3,55,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
97,"Jonny Castro","/en/players/e28868f3/Jonny-Castro","es ESP","MF","Wolves",29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
