"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal Kicks","Launch_percent_Goal Kicks","AvgLen_Goal Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Matches","url"
17,"Remi Matthews","/en/players/27f4f772/Remi-Matthews","eng ENG","GK","Crystal Palace",29,1994,0,1,0,0,0,0,0.1,0.15,-0.9,-19.2,0,5,0,4,0,100,53.8,1,100,63,1,1,100,0,0,3.5,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
18,"Arijanet Muric","/en/players/99aa1a84/Arijanet-Muric","xk KVX","GK","Burnley",24,1998,10,16,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14,31,3.1,17.2,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
19,"Neto","/en/players/a9dc785c/Neto","br BRA","GK","Bournemouth",34,1989,32,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57,44.2,413,26,6.3,34,1.06,13.7,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
20,"Robin Olsen","/en/players/e7ee38c3/Robin-Olsen","se SWE","GK","Aston Villa",33,1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13,1,0.22,8.4,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
21,"André Onana","/en/players/e9c0c1b2/Andre-Onana","cm CMR","GK","Manchester Utd",27,1996,38,58,7,1,11,1,59.7,0.27,2.7,0.07,149,513,29,1351,140,31,31.2,162,58,44.6,601,42,7,37,0.97,12.9,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
22,"Stefan Ortega","/en/players/c1242d4e/Stefan-Ortega","de GER","GK","Manchester City",30,1992,7.1,7,0,0,1,0,9,0.33,2,0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
23,"Đorđe Petrović","/en/players/0cf321c8/Djordje-Petrovic","rs SRB","GK","Chelsea",23,1999,22.1,38,1,0,5,3,28.3,0.26,-6.7,-0.3,67,214,31.3,655,97,22.1,27.8,149,46.3,37.8,312,20,6.4,20,0.91,12.7,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
24,"Jordan Pickford","/en/players/4806ec67/Jordan-Pickford","eng ENG","GK","Everton",29,1994,38,51,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40,1297,141,56.7,41.6,273,60.8,48.3,570,30,5.3,54,1.42,15.9,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
25,"Nick Pope","/en/players/4b40d9ca/Nick-Pope","eng ENG","GK","Newcastle Utd",31,1992,14.9,16,0,1,2,0,16.8,0.3,0.8,0.06,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
26,"Ionuț Radu","/en/players/67f649be/Ionut-Radu","ro ROU","GK","Bournemouth",26,1997,2,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0,9.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
