"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
12,"Rayan Aït-Nouri","/en/players/9b398aea/Rayan-Ait-Nouri","dz ALG","DF,MF","Wolves",22,2001,25.9,1523,56,406,699,446,49,1523,115,62,53.9,39,33.9,868,4898,2435,67,48,8,51,56,1007,99,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
13,"Kristoffer Ajer","/en/players/a8c0acb7/Kristoffer-Ajer","no NOR","DF","Brentford",25,1998,20.4,1042,112,430,457,158,58,1042,12,10,83.3,2,16.7,464,2367,1435,22,11,5,16,6,563,31,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
14,"Manuel Akanji","/en/players/89ac64a6/Manuel-Akanji","ch SUI","DF,MF","Manchester City",28,1995,27.9,2544,163,779,1385,392,27,2544,4,2,50,2,50,1639,8282,4923,46,51,3,14,9,1983,36,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
15,"Nathan Aké","/en/players/eaeca114/Nathan-Ake","nl NED","DF","Manchester City",28,1995,22.7,2026,105,634,1116,281,38,2026,10,5,50,3,30,1280,6039,3501,24,43,1,8,2,1507,18,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
16,"Thiago Alcántara","/en/players/77e84962/Thiago-Alcantara","es ESP","MF","Liverpool",32,1991,0.1,10,0,4,5,1,0,10,0,0,NA,0,NA,9,33,15,0,0,0,0,0,9,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
17,"Trent Alexander-Arnold","/en/players/cd1acf9d/Trent-Alexander-Arnold","eng ENG","DF","Liverpool",24,1998,23.9,2296,75,523,1217,582,34,2296,52,28,53.8,21,40.4,1250,5701,2724,45,48,7,27,6,1492,97,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
18,"Alisson","/en/players/7a2e46a8/Alisson","br BRA","GK","Liverpool",30,1992,28,1196,754,1145,52,0,0,1196,0,0,NA,0,NA,850,3713,2361,0,0,0,4,0,764,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
19,"Miguel Almirón","/en/players/862a1c15/Miguel-Almiron","py PAR","FW","Newcastle Utd",29,1994,21.5,1029,25,137,430,475,86,1029,52,23,44.2,22,42.3,652,4488,2276,78,43,22,30,27,741,162,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
20,"Edson Álvarez","/en/players/8b3ab7ad/Edson-Alvarez","mx MEX","MF","West Ham",25,1997,26.4,1599,150,565,854,201,16,1599,42,27,64.3,14,33.3,890,5147,2227,20,27,1,38,30,948,26,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
21,"Julián Álvarez","/en/players/15ab5a2b/Julian-Alvarez","ar ARG","MF,FW","Manchester City",23,2000,29.4,1554,20,107,473,988,149,1552,42,20,47.6,22,52.4,914,4459,2092,64,59,28,56,36,1103,180,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
22,"Zeki Amdouni","/en/players/2ee5b0c9/Zeki-Amdouni","ch SUI","FW","Burnley",22,2000,21.7,789,24,94,379,337,68,788,88,29,33,47,53.4,468,3229,1654,63,30,20,67,32,513,93,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
23,"Sofyan Amrabat","/en/players/5a2cb25d/Sofyan-Amrabat","ma MAR","MF,DF","Manchester Utd",26,1996,10.4,770,48,218,439,120,1,770,10,6,60,2,20,489,2362,947,6,8,0,9,11,545,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
24,"Joachim Andersen","/en/players/e34fc66d/Joachim-Andersen","dk DEN","DF","Crystal Palace",27,1996,37.9,2609,337,1320,1160,140,44,2609,23,14,60.9,6,26.1,1367,7243,4207,21,11,0,11,6,1604,10,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
25,"Elliot Anderson","/en/players/de31038e/Elliot-Anderson","eng ENG","MF,FW","Newcastle Utd",20,2002,11.4,640,23,109,278,267,46,640,43,21,48.8,18,41.9,364,2272,1213,37,23,4,28,22,416,70,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
26,"Jaidon Anthony","/en/players/e4238fb1/Jaidon-Anthony","eng ENG","FW","Bournemouth",23,1999,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50,36,160,77,2,2,0,5,2,40,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
27,"Michail Antonio","/en/players/ac05f970/Michail-Antonio","jm JAM","FW","West Ham",33,1990,18.8,527,7,49,226,259,59,527,62,29,46.8,26,41.9,345,2320,1084,48,17,19,69,39,398,104,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
28,"Antony","/en/players/99127249/Antony","br BRA","FW","Manchester Utd",23,2000,14.7,815,17,106,304,428,58,815,71,26,36.6,33,46.5,549,3686,1953,53,37,23,26,19,571,149,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
29,"Oliver Arblaster","/en/players/afe1a491/Oliver-Arblaster","eng ENG","MF","Sheffield Utd",19,2004,10.5,555,31,135,335,93,4,555,26,17,65.4,6,23.1,281,1521,661,14,12,3,13,8,317,4,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
30,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","FW,MF","Sheffield Utd",22,2001,20.4,563,13,63,205,307,69,563,61,30,49.2,29,47.5,346,2187,982,33,29,22,61,45,387,114,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
31,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","MF","Aston Villa",22,2001,0.1,7,0,1,4,2,0,7,0,0,NA,0,NA,5,39,28,1,1,0,1,0,7,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
32,"Alphonse Areola","/en/players/2f965a72/Alphonse-Areola","fr FRA","GK","West Ham",30,1993,30,976,835,969,7,0,0,976,1,1,100,0,0,498,3168,1945,0,1,0,0,0,345,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
33,"Lorenz Assignon","/en/players/b026bbf6/Lorenz-Assignon","tg TOG","DF","Burnley",23,2000,13.7,670,46,210,270,207,30,670,32,13,40.6,17,53.1,283,1862,1063,38,16,12,27,13,303,57,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
34,"Serge Aurier","/en/players/5c2b4f07/Serge-Aurier","ci CIV","DF,MF","Nott'ham Forest",30,1992,9.3,568,39,165,280,127,13,568,14,3,21.4,11,78.6,249,1039,532,10,15,1,9,8,347,29,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
35,"Taiwo Awoniyi","/en/players/e5478b87/Taiwo-Awoniyi","ng NGA","FW","Nott'ham Forest",25,1997,11.6,294,14,30,153,118,43,294,16,8,50,7,43.8,168,748,320,8,6,6,38,11,209,45,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
36,"Jordan Ayew","/en/players/da052c14/Jordan-Ayew","gh GHA","FW,MF","Crystal Palace",31,1991,28.3,1349,24,182,592,598,95,1349,130,52,40,57,43.8,836,5509,2119,74,55,20,85,80,967,173,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
37,"Benoît Badiashile","/en/players/06df8256/Benoit-Badiashile","fr FRA","DF","Chelsea",22,2001,14.9,1321,178,662,612,52,11,1321,1,0,0,0,0,765,3225,1734,3,5,1,6,4,976,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
38,"Leon Bailey","/en/players/3a233281/Leon-Bailey","jm JAM","MF,FW","Aston Villa",25,1997,23,1040,19,151,318,589,129,1040,119,57,47.9,50,42,717,5148,2495,102,47,41,51,41,764,226,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
39,"Stefan Bajcetic","/en/players/32e8417f/Stefan-Bajcetic","es ESP","MF","Liverpool",18,2004,0.3,12,0,4,8,0,0,12,0,0,NA,0,NA,9,46,24,0,0,0,0,0,9,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
40,"George Baldock","/en/players/394854c4/George-Baldock","gr GRE","DF","Sheffield Utd",30,1993,10.8,505,66,200,192,116,9,505,11,6,54.5,4,36.4,238,988,463,9,3,4,9,9,258,24,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
41,"Carlos Baleba","/en/players/a1390d2f/Carlos-Baleba","cm CMR","MF","Brighton",19,2004,14.7,965,65,255,580,139,5,965,22,11,50,6,27.3,571,2903,1423,19,19,1,16,16,664,9,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
42,"Fodé Ballo-Touré","/en/players/f449640d/Fode-Ballo-Toure","sn SEN","DF,MF","Fulham",26,1997,0.8,91,4,35,39,18,1,91,6,3,50,2,33.3,48,300,163,5,2,1,0,0,50,4,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
