"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches","url"
22,"Zeki Amdouni","/en/players/2ee5b0c9/Zeki-Amdouni","ch SUI","FW","Burnley",22,2000,21.7,50,2.3,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
23,"Sofyan Amrabat","/en/players/5a2cb25d/Sofyan-Amrabat","ma MAR","MF,DF","Manchester Utd",26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.1,1,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
24,"Joachim Andersen","/en/players/e34fc66d/Joachim-Andersen","dk DEN","DF","Crystal Palace",27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
25,"Elliot Anderson","/en/players/de31038e/Elliot-Anderson","eng ENG","MF,FW","Newcastle Utd",20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
26,"Jaidon Anthony","/en/players/e4238fb1/Jaidon-Anthony","eng ENG","FW","Bournemouth",23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
27,"Michail Antonio","/en/players/ac05f970/Michail-Antonio","jm JAM","FW","West Ham",33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
28,"Antony","/en/players/99127249/Antony","br BRA","FW","Manchester Utd",23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.2,1,0,0,0,0,2,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
29,"Oliver Arblaster","/en/players/afe1a491/Oliver-Arblaster","eng ENG","MF","Sheffield Utd",19,2004,10.5,23,2.2,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
30,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","FW,MF","Sheffield Utd",22,2001,20.4,49,2.41,32,0,9,5,1,2,4,0.2,2,0,1,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
31,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","MF","Aston Villa",22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
32,"Alphonse Areola","/en/players/2f965a72/Alphonse-Areola","fr FRA","GK","West Ham",30,1993,30,2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
33,"Lorenz Assignon","/en/players/b026bbf6/Lorenz-Assignon","tg TOG","DF","Burnley",23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
34,"Serge Aurier","/en/players/5c2b4f07/Serge-Aurier","ci CIV","DF,MF","Nott'ham Forest",30,1992,9.3,15,1.62,12,1,1,0,1,0,2,0.22,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
35,"Taiwo Awoniyi","/en/players/e5478b87/Taiwo-Awoniyi","ng NGA","FW","Nott'ham Forest",25,1997,11.6,30,2.6,22,0,2,0,4,2,6,0.52,5,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
