"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Matches","url"
30,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","FW,MF","Sheffield Utd",22,2001,20.4,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,-1.8,23,11,7,2,15,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
31,"Cameron Archer","/en/players/05e8ca6d/Cameron-Archer","eng ENG","MF","Aston Villa",22,2001,0.1,5,6,83.3,42,0,5,6,83.3,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
32,"Alphonse Areola","/en/players/2f965a72/Alphonse-Areola","fr FRA","GK","West Ham",30,1993,30,562,867,64.8,17799,12917,74,76,97.4,245,246,99.6,241,538,44.8,0,0,0,0,0,8,0,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
33,"Lorenz Assignon","/en/players/b026bbf6/Lorenz-Assignon","tg TOG","DF","Burnley",23,2000,13.7,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
34,"Serge Aurier","/en/players/5c2b4f07/Serge-Aurier","ci CIV","DF,MF","Nott'ham Forest",30,1992,9.3,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,1.5,4,31,9,4,47,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
35,"Taiwo Awoniyi","/en/players/e5478b87/Taiwo-Awoniyi","ng NGA","FW","Nott'ham Forest",25,1997,11.6,127,175,72.6,1594,312,88,111,79.3,34,47,72.3,3,5,60,3,1.7,0.9,1.3,10,6,3,0,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
36,"Jordan Ayew","/en/players/da052c14/Jordan-Ayew","gh GHA","FW,MF","Crystal Palace",31,1991,28.3,681,920,74,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,2.8,25,43,26,10,63,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
37,"Benoît Badiashile","/en/players/06df8256/Benoit-Badiashile","fr FRA","DF","Chelsea",22,2001,14.9,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93,71,106,67,1,1.5,0.9,-0.5,6,48,4,0,46,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
38,"Leon Bailey","/en/players/3a233281/Leon-Bailey","jm JAM","MF,FW","Aston Villa",25,1997,23,573,790,72.5,8993,2559,327,391,83.6,184,242,76,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
39,"Stefan Bajcetic","/en/players/32e8417f/Stefan-Bajcetic","es ESP","MF","Liverpool",18,2004,0.3,7,10,70,101,44,3,3,100,4,6,66.7,0,0,NA,0,0,0,0,0,0,0,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
40,"George Baldock","/en/players/394854c4/George-Baldock","gr GRE","DF","Sheffield Utd",30,1993,10.8,291,397,73.3,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,1,0.8,0.6,0.2,7,18,11,4,31,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
41,"Carlos Baleba","/en/players/a1390d2f/Carlos-Baleba","cm CMR","MF","Brighton",19,2004,14.7,713,775,92,10618,2185,402,429,93.7,267,278,96,24,30,80,0,0.3,0.3,-0.3,8,38,3,0,50,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
42,"Fodé Ballo-Touré","/en/players/f449640d/Fode-Ballo-Toure","sn SEN","DF,MF","Fulham",26,1997,0.8,56,78,71.8,1002,224,23,30,76.7,26,33,78.8,6,8,75,0,0,0,0,0,3,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
43,"Shandon Baptiste","/en/players/2886c9b5/Shandon-Baptiste","gd GRN","MF","Brentford",25,1998,2.5,66,90,73.3,1144,351,33,39,84.6,25,28,89.3,7,15,46.7,1,0.2,0.4,0.8,4,7,3,2,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
44,"Valentín Barco","/en/players/b9f282ec/Valentin-Barco","ar ARG","DF,FW","Brighton",19,2004,3.4,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,0,0.2,0.4,-0.2,4,10,3,0,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
45,"Ross Barkley","/en/players/3a24769f/Ross-Barkley","eng ENG","MF","Luton Town",29,1993,29.1,1218,1474,82.6,21602,6544,550,611,90,473,533,88.7,147,226,65,4,3.7,2.7,0.3,44,138,27,1,163,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
46,"Harvey Barnes","/en/players/3ea50f67/Harvey-Barnes","eng ENG","FW,MF","Newcastle Utd",25,1997,8.9,208,272,76.5,2981,750,128,147,87.1,68,84,81,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
47,"Chris Basham","/en/players/1aa84968/Chris-Basham","eng ENG","DF,MF","Sheffield Utd",35,1988,3.6,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
48,"Calvin Bassey","/en/players/a36524bf/Calvin-Bassey","ng NGA","DF","Fulham",23,1999,25.6,1440,1674,86,27276,9421,483,514,94,787,855,92,141,246,57.3,0,0,0.2,0,1,80,2,0,62,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
49,"Owen Beck","/en/players/a011a1e9/Owen-Beck","wls WAL","DF","Liverpool",20,2002,0.1,3,4,75,31,1,2,3,66.7,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
50,"Donny van de Beek","/en/players/50dc94ce/Donny-van-de-Beek","nl NED","DF","Manchester Utd",26,1997,0,1,1,100,7,0,1,1,100,0,0,NA,0,0,NA,0,0.1,0,-0.1,1,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
51,"Amari'i Bell","/en/players/399e9474/Amarii-Bell","jm JAM","DF","Luton Town",29,1994,19.1,645,835,77.2,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,0,0.5,0.4,-0.5,8,63,8,0,76,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
52,"Jean-Ricner Bellegarde","/en/players/10f0fdd3/Jean-Ricner-Bellegarde","fr FRA","MF,FW","Wolves",25,1998,10.6,241,314,76.8,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,1,1,0.8,0,12,17,7,0,39,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
53,"Anis Ben Slimane","/en/players/9ade9ce1/Anis-Ben-Slimane","tn TUN","MF","Sheffield Utd",22,2001,4.7,92,139,66.2,1322,373,47,70,67.1,35,43,81.4,4,5,80,0,0.3,0.1,-0.3,3,6,2,0,12,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
54,"Saïd Benrahma","/en/players/5a04fd92/Said-Benrahma","dz ALG","FW,MF","West Ham",27,1995,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
55,"Rodrigo Bentancur","/en/players/3b8674e6/Rodrigo-Bentancur","uy URU","MF","Tottenham",26,1997,11.2,674,800,84.3,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,1,0.5,1.1,0.5,8,69,11,1,72,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
56,"Daniel Bentley","/en/players/68db6358/Daniel-Bentley","eng ENG","GK","Wolves",30,1993,4.3,96,144,66.7,2347,1661,30,30,100,37,37,100,28,76,36.8,0,0,0,0,0,2,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
57,"Jóhann Berg Guðmundsson","/en/players/f72293fc/Johann-Berg-Gudmundsson","is ISL","MF,FW","Burnley",32,1990,13.2,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,0.3,35,36,18,6,59,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
58,"Sander Berge","/en/players/d0b6129f/Sander-Berge","no NOR","MF","Burnley",25,1998,33.4,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
59,"Luke Berry","/en/players/2aaadf33/Luke-Berry","eng ENG","MF,DF","Luton Town",31,1992,3.6,64,99,64.6,984,310,38,45,84.4,18,32,56.3,6,15,40,1,0.3,0.1,0.7,2,5,0,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
60,"Beto","/en/players/ed5c0319/Beto","gw GNB","FW","Everton",25,1998,10.6,108,180,60,1451,323,66,98,67.3,34,53,64.2,5,7,71.4,0,0.9,0.3,-0.9,11,7,6,0,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
61,"Jordan Beyer","/en/players/9af1f9ff/Jordan-Beyer","de GER","DF","Burnley",23,2000,13.7,766,861,89,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,0.7,3,28,1,0,25,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
62,"Philip Billing","/en/players/d328a254/Philip-Billing","dk DEN","MF","Bournemouth",27,1996,15.5,404,537,75.2,6037,1791,232,279,83.2,121,153,79.1,31,56,55.4,2,3.2,2.1,-1.2,23,39,15,4,53,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
63,"Yves Bissouma","/en/players/6c203af0/Yves-Bissouma","ml MLI","MF","Tottenham",26,1996,23,1689,1842,91.7,25078,7214,948,1006,94.2,607,651,93.2,68,84,81,0,0.4,1.7,-0.4,11,156,12,0,169,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
