"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Bournemouth","Premier League","team",29,38,16900,15136,1694,430,59,78,832,686,228,166,18,4,12977,70,314,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Bournemouth","Premier League","opponent",29,38,18037,16003,1992,569,68,59,601,800,184,103,44,4,14072,42,372,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Brentford","Premier League","team",28,38,17100,15453,1584,386,69,71,674,602,174,139,2,0,13358,63,288,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brentford","Premier League","opponent",28,38,18708,17074,1576,363,63,74,793,615,242,131,61,4,15047,58,331,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brest","Ligue 1","team",30,34,16021,14404,1575,485,41,133,641,614,142,71,62,0,12678,42,292,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brest","Ligue 1","opponent",30,34,17260,15604,1597,453,56,109,639,638,167,74,71,1,14071,59,313,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brighton","Premier League","team",32,38,19188,17527,1615,482,77,76,704,605,188,107,48,7,15820,46,310,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Brighton","Premier League","opponent",32,38,17647,15881,1678,460,53,82,543,634,182,130,23,4,14240,88,334,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Cagliari","Serie A","team",28,38,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Cagliari","Serie A","opponent",28,38,19649,17808,1769,540,62,71,692,690,190,74,85,1,16100,72,261,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Celta Vigo","La Liga","team",30,38,21253,19376,1810,502,89,149,501,782,149,52,62,1,17798,67,365,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Celta Vigo","La Liga","opponent",30,38,18445,16682,1688,504,57,102,667,680,159,69,53,1,14946,75,323,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Chelsea","Premier League","team",29,38,21320,19613,1642,516,79,95,663,587,234,121,37,8,18033,65,304,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Chelsea","Premier League","opponent",29,38,16240,14557,1595,461,55,59,543,583,139,81,36,1,13008,88,297,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Como","Serie A","team",38,38,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Como","Serie A","opponent",38,38,16090,14221,1795,532,40,132,571,730,146,65,63,1,12785,74,293,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Crystal Palace","Premier League","team",29,38,15754,14066,1614,440,71,59,605,621,171,115,18,0,11875,74,302,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Crystal Palace","Premier League","opponent",29,38,21227,19439,1741,473,66,78,716,717,214,135,44,7,17325,47,399,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Dortmund","Bundesliga","team",28,34,20321,18695,1583,431,67,93,698,659,191,105,51,3,17077,43,320,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Dortmund","Bundesliga","opponent",28,34,14210,12657,1460,353,44,74,551,593,134,62,45,0,10934,93,313,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Eint Frankfurt","Bundesliga","team",26,34,17138,15585,1496,398,48,64,539,582,168,103,46,0,13925,57,305,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Eint Frankfurt","Bundesliga","opponent",26,34,17664,15994,1571,377,67,73,677,642,172,67,75,2,14160,99,335,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Empoli","Serie A","team",34,38,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Empoli","Serie A","opponent",34,38,19935,17913,1983,601,48,93,714,848,194,80,84,1,16105,39,317,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Espanyol","La Liga","team",27,38,13996,12245,1690,484,51,97,619,647,144,35,77,2,10580,61,285,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Espanyol","La Liga","opponent",27,38,21580,19688,1839,529,49,143,858,759,227,97,95,5,17987,53,350,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Everton","Premier League","team",26,38,14953,13245,1627,424,30,83,682,678,154,101,24,11,11405,81,295,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Everton","Premier League","opponent",26,38,21623,19822,1750,489,68,106,731,708,229,146,42,7,17944,51,304,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Fiorentina","Serie A","team",34,38,17510,15677,1745,600,27,99,588,626,148,66,40,1,14193,88,283,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Fiorentina","Serie A","opponent",34,38,17215,15466,1706,508,33,91,639,680,157,72,54,0,13849,43,276,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Freiburg","Bundesliga","team",26,34,16460,14973,1426,362,34,56,589,597,132,79,39,0,12892,61,317,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Freiburg","Bundesliga","opponent",26,34,17514,16046,1425,356,35,83,604,624,147,80,43,0,14111,43,328,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",26,38,19753,18077,1633,437,43,119,894,636,203,88,87,1,16199,43,337,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",26,38,18069,16368,1618,445,75,96,632,613,172,122,26,3,14692,83,310,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",37,38,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",37,38,18823,16947,1817,527,38,83,682,766,202,71,73,0,15111,59,346,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",30,38,12922,10790,2042,579,23,116,721,927,147,55,69,1,8695,90,262,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",30,38,18284,16088,2111,659,52,111,626,910,147,66,45,1,13966,85,364,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",30,38,21401,19598,1724,484,39,128,804,706,186,91,67,1,18273,79,338,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",30,38,16818,15144,1630,488,40,84,607,626,166,61,62,2,13798,44,260,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
