"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2025,"Udinese","Serie A","opponent",31,38,51,496,157,31.7,13.05,4.13,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",28,34,36,414,120,29,12.18,3.53,0.08,0.28,16.6,7,3,3,37,34.7,0.08,-1,-1.7,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",28,34,49,410,133,32.4,12.06,3.91,0.11,0.35,16.9,13,2,6,47.8,43,0.11,1.2,4,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",32,38,43,383,116,30.3,10.08,3.05,0.1,0.33,17.2,6,5,5,43.3,39.3,0.11,-0.3,-1.3,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",32,38,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",38,38,26,331,97,29.3,8.71,2.55,0.06,0.22,18,11,5,5,34.6,30.7,0.09,-8.6,-9.7,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",38,38,89,592,197,33.3,15.58,5.18,0.14,0.42,17.7,28,7,7,67.6,62.4,0.11,21.4,19.6,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",36,38,31,381,120,31.5,10.03,3.16,0.07,0.23,18.5,25,4,5,35.8,32,0.09,-4.8,-5,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",36,38,53,556,177,31.8,14.63,4.66,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",31,38,69,530,171,32.3,13.95,4.5,0.12,0.37,16,9,5,7,64.8,59.1,0.12,4.2,4.9,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",31,38,50,475,153,32.2,12.5,4.03,0.09,0.28,18.5,13,7,8,44.4,38.2,0.08,5.6,4.8,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",23,34,53,424,138,32.5,12.47,4.06,0.12,0.36,16,12,3,5,49.1,45.7,0.11,3.9,4.3,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"Werder Bremen","Bundesliga","opponent",23,34,54,467,153,32.8,13.74,4.5,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"West Ham","Premier League","team",27,38,43,473,137,29,12.45,3.61,0.08,0.29,16.3,14,3,3,47,44.7,0.1,-4,-4.7,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"West Ham","Premier League","opponent",27,38,59,580,183,31.6,15.26,4.82,0.1,0.31,16.9,18,3,3,59.7,57.4,0.1,-0.7,-1.4,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"Wolfsburg","Bundesliga","team",27,34,53,432,137,31.7,12.71,4.03,0.11,0.36,17.3,13,4,5,47.5,43.4,0.1,5.5,5.6,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolfsburg","Bundesliga","opponent",27,34,53,470,157,33.4,13.82,4.62,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolves","Premier League","team",32,38,53,431,155,36,11.34,4.08,0.12,0.34,18.1,18,0,0,43.7,43.7,0.1,9.3,9.3,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
2025,"Wolves","Premier League","opponent",32,38,66,464,159,34.3,12.21,4.18,0.13,0.37,16.5,19,7,9,58.1,51,0.11,7.9,8,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
