"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Fußball-Bundesliga","M","GER",2025,"vs Dortmund","opponent",28,34,50,372,136,36.6,10.94,4,0.12,0.34,17,8,4,4,42.8,39.6,0.11,7.2,6.4
"Fußball-Bundesliga","M","GER",2025,"vs Eint Frankfurt","opponent",26,34,44,466,160,34.3,13.71,4.71,0.09,0.27,17.1,8,1,3,48,45.7,0.1,-4,-2.7
"Fußball-Bundesliga","M","GER",2025,"vs Freiburg","opponent",26,34,52,428,146,34.1,12.59,4.29,0.12,0.34,17.8,13,2,4,42.4,39.4,0.09,9.6,10.6
"Fußball-Bundesliga","M","GER",2025,"vs Gladbach","opponent",26,34,55,577,183,31.7,16.97,5.38,0.08,0.26,17.2,13,7,8,63.4,57,0.1,-8.4,-9
"Fußball-Bundesliga","M","GER",2025,"vs Heidenheim","opponent",27,34,64,454,165,36.3,13.35,4.85,0.13,0.35,17.4,15,6,6,57.6,53,0.12,6.4,5
"Fußball-Bundesliga","M","GER",2025,"vs Hoffenheim","opponent",35,34,65,485,167,34.4,14.26,4.91,0.13,0.37,16.4,16,3,6,55.8,51.1,0.11,9.2,10.9
"Fußball-Bundesliga","M","GER",2025,"vs Holstein Kiel","opponent",27,34,77,548,188,34.3,16.12,5.53,0.13,0.38,15.7,10,6,7,61,55.6,0.1,16,15.4
"Fußball-Bundesliga","M","GER",2025,"vs Leverkusen","opponent",23,34,39,330,130,39.4,9.71,3.82,0.11,0.27,17.2,10,4,4,36.2,33.1,0.1,2.8,1.9
"Fußball-Bundesliga","M","GER",2025,"vs Mainz 05","opponent",25,34,43,459,145,31.6,13.5,4.26,0.08,0.27,16.7,10,4,5,48.1,44.6,0.1,-5.1,-5.6
"Fußball-Bundesliga","M","GER",2025,"vs RB Leipzig","opponent",29,34,48,497,155,31.2,14.62,4.56,0.09,0.3,16.2,12,2,3,53.3,51,0.11,-5.3,-5
"Fußball-Bundesliga","M","GER",2025,"vs St. Pauli","opponent",28,34,40,375,135,36,11.03,3.97,0.1,0.29,16.1,6,1,5,45.4,41.5,0.11,-5.4,-2.5
"Fußball-Bundesliga","M","GER",2025,"vs Stuttgart","opponent",29,34,52,386,133,34.5,11.35,3.91,0.13,0.38,17,10,2,3,46.9,44.5,0.12,5.1,5.5
"Fußball-Bundesliga","M","GER",2025,"vs Union Berlin","opponent",28,34,49,410,133,32.4,12.06,3.91,0.11,0.35,16.9,13,2,6,47.8,43,0.11,1.2,4
"Fußball-Bundesliga","M","GER",2025,"vs Werder Bremen","opponent",23,34,54,467,153,32.8,13.74,4.5,0.11,0.33,17.6,18,3,3,48.1,45.7,0.1,5.9,5.3
"Fußball-Bundesliga","M","GER",2025,"vs Wolfsburg","opponent",27,34,53,470,157,33.4,13.82,4.62,0.11,0.32,16.5,13,2,3,52.5,50.1,0.11,0.5,0.9
"Serie A","M","ITA",2025,"Atalanta","team",32,38,76,538,181,33.6,14.16,4.76,0.13,0.39,15,5,5,7,65,59.5,0.11,11,11.5
"Serie A","M","ITA",2025,"Bologna","team",30,38,56,505,166,32.9,13.29,4.37,0.1,0.3,17.5,18,6,7,49.3,43.8,0.09,6.7,6.2
"Serie A","M","ITA",2025,"Cagliari","team",28,38,38,421,115,27.3,11.08,3.03,0.08,0.3,16,10,3,3,42.7,40.3,0.1,-4.7,-5.3
"Serie A","M","ITA",2025,"Como","team",38,38,44,519,176,33.9,13.66,4.63,0.08,0.25,17.9,17,0,2,45.4,43.9,0.09,-1.4,0.1
"Serie A","M","ITA",2025,"Empoli","team",34,38,31,367,107,29.2,9.66,2.82,0.08,0.27,19.1,21,2,3,32.5,30.1,0.08,-1.5,-1.1
"Serie A","M","ITA",2025,"Fiorentina","team",34,38,58,439,166,37.8,11.55,4.37,0.12,0.31,18,20,6,8,48.9,42.6,0.1,9.1,9.4
"Serie A","M","ITA",2025,"Genoa","team",37,38,35,383,117,30.5,10.08,3.08,0.09,0.3,17.7,16,0,2,37.2,35.5,0.09,-2.2,-0.5
"Serie A","M","ITA",2025,"Hellas Verona","team",32,38,31,372,95,25.5,9.79,2.5,0.08,0.31,17.7,12,2,2,33.8,32.3,0.09,-2.8,-3.3
"Serie A","M","ITA",2025,"Inter","team",26,38,76,565,179,31.7,14.87,4.71,0.12,0.38,16.3,17,8,9,66.9,60.1,0.11,9.1,7.9
"Serie A","M","ITA",2025,"Juventus","team",29,38,56,509,175,34.4,13.39,4.61,0.1,0.29,17.3,11,6,6,51.1,46.4,0.09,4.9,3.6
"Serie A","M","ITA",2025,"Lazio","team",27,38,60,528,185,35,13.89,4.87,0.1,0.29,17.7,13,6,7,57.2,52,0.1,2.8,2
"Serie A","M","ITA",2025,"Lecce","team",31,38,27,450,119,26.4,11.84,3.13,0.05,0.2,19.3,22,3,4,34.6,31.8,0.07,-7.6,-7.8
"Serie A","M","ITA",2025,"Milan","team",35,38,59,555,185,33.3,14.61,4.87,0.1,0.3,17.9,8,4,8,63.7,57.5,0.11,-4.7,-2.5
"Serie A","M","ITA",2025,"Monza","team",36,38,27,333,99,29.7,8.76,2.61,0.07,0.24,18.3,17,3,3,29.9,27.7,0.09,-2.9,-3.7
"Serie A","M","ITA",2025,"Napoli","team",27,38,56,499,150,30.1,13.13,3.95,0.1,0.35,16.2,11,4,5,53,49.2,0.1,3,2.8
"Serie A","M","ITA",2025,"Parma","team",32,38,43,418,140,33.5,11,3.68,0.09,0.26,19.3,22,6,7,43.1,37.6,0.09,-0.1,-0.6
"Serie A","M","ITA",2025,"Roma","team",28,38,55,514,162,31.5,13.53,4.26,0.09,0.29,17.9,15,8,8,53,46.7,0.09,2,0.3
"Serie A","M","ITA",2025,"Torino","team",31,38,36,383,123,32.1,10.08,3.24,0.09,0.28,18.6,12,2,4,34.6,31.6,0.08,1.4,2.4
"Serie A","M","ITA",2025,"Udinese","team",31,38,41,430,137,31.9,11.32,3.61,0.09,0.28,17.7,15,2,4,38.2,35,0.08,2.8,4
"Serie A","M","ITA",2025,"Venezia","team",36,38,31,381,120,31.5,10.03,3.16,0.07,0.23,18.5,25,4,5,35.8,32,0.09,-4.8,-5
"Serie A","M","ITA",2025,"vs Atalanta","opponent",32,38,35,403,145,36,10.61,3.82,0.08,0.23,18.3,11,2,2,38.6,37.1,0.1,-3.6,-4.1
"Serie A","M","ITA",2025,"vs Bologna","opponent",30,38,45,317,103,32.5,8.34,2.71,0.14,0.42,17.3,11,2,3,36.7,34.3,0.11,8.3,8.7
"Serie A","M","ITA",2025,"vs Cagliari","opponent",28,38,56,497,147,29.6,13.08,3.87,0.1,0.34,17.7,17,6,6,55.3,51.1,0.11,0.7,-1.1
"Serie A","M","ITA",2025,"vs Como","opponent",38,38,52,376,136,36.2,9.89,3.58,0.12,0.33,17.5,22,7,7,43,37.6,0.1,9,7.4
"Serie A","M","ITA",2025,"vs Empoli","opponent",34,38,58,513,156,30.4,13.5,4.11,0.11,0.37,17.3,17,1,3,50.1,47.7,0.09,7.9,9.3
"Serie A","M","ITA",2025,"vs Fiorentina","opponent",34,38,40,440,145,33,11.58,3.82,0.09,0.27,17.4,14,1,3,42.8,40.5,0.09,-2.8,-1.5
"Serie A","M","ITA",2025,"vs Genoa","opponent",37,38,46,472,150,31.8,12.42,3.95,0.08,0.27,17.9,15,6,8,47.2,41.1,0.09,-1.2,-1.1
"Serie A","M","ITA",2025,"vs Hellas Verona","opponent",32,38,65,501,169,33.7,13.18,4.45,0.13,0.37,18.4,23,2,4,53.4,50.3,0.1,11.6,12.7
"Serie A","M","ITA",2025,"vs Inter","opponent",26,38,34,395,126,31.9,10.39,3.32,0.08,0.25,17.7,11,3,4,36.5,33.2,0.09,-2.5,-2.2
"Serie A","M","ITA",2025,"vs Juventus","opponent",29,38,35,394,114,28.9,10.37,3,0.08,0.26,18,13,5,5,34,30.1,0.08,1,-0.1
"Serie A","M","ITA",2025,"vs Lazio","opponent",27,38,47,380,115,30.3,10,3.03,0.11,0.37,17.6,14,4,4,37.7,34.7,0.09,9.3,8.3
"Serie A","M","ITA",2025,"vs Lecce","opponent",31,38,55,521,172,33,13.71,4.53,0.09,0.27,17.5,18,8,10,57.1,49.6,0.1,-2.1,-2.6
"Serie A","M","ITA",2025,"vs Milan","opponent",35,38,40,429,140,32.6,11.29,3.68,0.09,0.28,17.9,14,1,2,41.3,39.7,0.1,-1.3,-0.7
"Serie A","M","ITA",2025,"vs Monza","opponent",36,38,66,563,179,31.8,14.82,4.71,0.11,0.36,16.8,19,2,4,54.7,51.6,0.09,11.3,12.4
"Serie A","M","ITA",2025,"vs Napoli","opponent",27,38,25,360,93,25.8,9.47,2.45,0.07,0.26,19.2,19,1,4,29.6,26.3,0.07,-4.6,-2.3
"Serie A","M","ITA",2025,"vs Parma","opponent",32,38,56,537,153,28.5,14.13,4.03,0.09,0.33,17.1,20,5,5,56.4,52.6,0.1,-0.4,-1.6
"Serie A","M","ITA",2025,"vs Roma","opponent",28,38,34,437,147,33.6,11.5,3.87,0.07,0.2,18.2,13,4,4,40.9,37.7,0.09,-6.9,-7.7
"Serie A","M","ITA",2025,"vs Torino","opponent",31,38,43,522,173,33.1,13.74,4.55,0.08,0.23,17.3,9,3,7,50.4,44.9,0.09,-7.4,-4.9
"Serie A","M","ITA",2025,"vs Udinese","opponent",31,38,51,496,157,31.7,13.05,4.13,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5
"Serie A","M","ITA",2025,"vs Venezia","opponent",36,38,53,556,177,31.8,14.63,4.66,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9
