"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"Premier League","M","ENG",2025,"vs Leicester City","opponent",32,38,77,639,205,32.1,16.82,5.39,0.12,0.36,16,21,3,4,71.9,68.8,0.11,5.1,5.2
"Premier League","M","ENG",2025,"vs Liverpool","opponent",24,38,39,385,136,35.3,10.13,3.58,0.1,0.28,17.6,12,1,2,38.6,36.9,0.1,0.4,1.1
"Premier League","M","ENG",2025,"vs Manchester City","opponent",30,38,42,351,124,35.3,9.24,3.26,0.11,0.31,15.4,5,4,4,47.7,44.6,0.13,-5.7,-6.6
"Premier League","M","ENG",2025,"vs Manchester Utd","opponent",31,38,52,411,145,35.3,10.82,3.82,0.12,0.34,16.5,14,3,4,53.8,50.8,0.13,-1.8,-1.8
"Premier League","M","ENG",2025,"vs Newcastle Utd","opponent",24,38,45,471,159,33.8,12.39,4.18,0.09,0.28,16.7,7,1,2,45.5,44,0.1,-0.5,0
"Premier League","M","ENG",2025,"vs Nott'ham Forest","opponent",23,38,46,528,162,30.7,13.89,4.26,0.08,0.27,16.8,11,3,3,48.9,46.5,0.09,-2.9,-3.5
"Premier League","M","ENG",2025,"vs Southampton","opponent",36,38,86,672,236,35.1,17.68,6.21,0.12,0.33,16.3,18,7,9,84.8,77.9,0.12,1.2,1.1
"Premier League","M","ENG",2025,"vs Tottenham","opponent",31,38,61,519,177,34.1,13.66,4.66,0.11,0.33,15.8,8,3,3,63.3,61,0.12,-2.3,-3
"Premier League","M","ENG",2025,"vs West Ham","opponent",27,38,59,580,183,31.6,15.26,4.82,0.1,0.31,16.9,18,3,3,59.7,57.4,0.1,-0.7,-1.4
"Premier League","M","ENG",2025,"vs Wolves","opponent",32,38,66,464,159,34.3,12.21,4.18,0.13,0.37,16.5,19,7,9,58.1,51,0.11,7.9,8
