"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2025,"Newcastle Utd","Premier League","team",24,38,15416,18898,81.6,260464,91034,7416,8283,89.5,6475,7373,87.8,1193,2313,51.6,50,46,42.2,4,399,1149,399,70,1595,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",24,38,14333,17858,80.3,244975,85080,7047,7756,90.9,5735,6620,86.6,1213,2556,47.5,41,35.9,31.6,5.1,364,1170,276,65,1273,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",31,34,13129,16103,81.5,221429,82784,6345,7100,89.4,5509,6336,86.9,1015,1909,53.2,43,42.9,40.6,0.1,353,951,321,65,1320,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nice","Ligue 1","opponent",31,34,14744,17860,82.6,255386,86373,6652,7365,90.3,6581,7396,89,1196,2270,52.7,30,31.2,33.6,-1.2,351,1131,282,65,1314,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",23,38,10822,14366,75.3,185832,74897,5322,6094,87.3,4065,5011,81.1,1038,2339,44.4,42,33,29.9,9,333,974,241,64,1125,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",23,38,16965,20627,82.2,289408,96915,7747,8667,89.4,7609,8672,87.7,1251,2387,52.4,35,35.2,36.5,-0.2,396,1483,375,92,1886,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",25,38,12184,16028,76,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,28,29.8,33.4,-1.8,300,963,265,127,1221,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",25,38,15229,18864,80.7,268789,97445,6895,7684,89.7,6578,7586,86.7,1433,2702,53,38,40.7,43.2,-2.7,350,1251,349,83,1546,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",28,34,23156,25781,89.8,384671,110280,10887,11622,93.7,10098,10815,93.4,1623,2267,71.6,69,70.8,61.3,-1.8,521,1849,450,71,2123,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",28,34,9330,12016,77.6,160077,67171,4500,5171,87,3518,4163,84.5,963,1851,52,22,22.7,22,-0.7,232,651,196,41,874,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
