"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Monza","Serie A","opponent",36,51.5,38,22691,1877,5883,11026,5982,904,22687,554,229,41.3,272,49.1,12838,66921,34494,699,542,186,545,290,15414,1581,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Nantes","Ligue 1","team",30,40.4,34,17874,2137,6120,8089,3839,644,17869,525,227,43.2,278,53,9492,48016,23741,502,344,141,485,286,10932,1044,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Nantes","Ligue 1","opponent",30,59.6,34,24836,1972,6721,12086,6215,872,24828,603,244,40.5,321,53.2,14536,73671,38972,715,482,175,500,324,17820,1709,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
2025,"Napoli","Serie A","team",27,54.6,38,23892,2258,7471,11310,5295,869,23887,611,244,39.9,286,46.8,13244,69492,35365,739,443,207,473,326,16735,1530,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Napoli","Serie A","opponent",27,45.4,38,20770,2464,6906,9530,4543,584,20766,519,211,40.7,258,49.7,11837,63353,30835,537,445,103,499,277,13488,1132,"https://fbref.com/en/squads/d48ad4ff/2024-2025/Napoli-Stats"
2025,"Newcastle Utd","Premier League","team",24,51.3,38,23032,2284,7468,9671,6124,1082,23026,657,282,42.9,298,45.4,13016,71021,36065,759,474,263,491,438,15294,1583,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",24,48.7,38,22228,2680,7157,9564,5732,888,22226,687,298,43.4,306,44.5,12457,65304,33229,667,474,223,543,297,14188,1260,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",31,47.5,34,20206,2171,6488,9270,4693,843,20200,687,295,42.9,346,50.4,10937,58506,32981,701,413,171,540,315,13013,1312,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nice","Ligue 1","opponent",31,52.5,34,21769,2318,6781,10019,5194,738,21766,568,237,41.7,297,52.3,12118,60988,30830,618,468,149,499,336,14620,1305,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",23,41.2,38,18996,2463,6477,7689,5063,785,18993,581,259,44.6,233,40.1,8768,49825,26563,633,384,187,563,324,10733,1117,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",23,58.8,38,24861,2141,6917,11116,7047,1068,24858,755,327,43.3,343,45.4,14317,84446,48375,966,599,245,588,355,16672,1868,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",25,46.1,38,20036,2263,6318,8904,5007,737,20027,592,260,43.9,279,47.1,10439,54365,27022,567,424,134,532,293,12053,1204,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",25,53.9,38,23180,2310,7397,10374,5622,821,23173,671,307,45.8,311,46.3,12868,68588,36262,647,491,168,674,303,15079,1535,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",28,68,34,29502,1991,6704,14734,8262,1211,29495,802,364,45.4,393,49,18244,92964,49950,936,702,347,488,329,23027,2114,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",28,32,34,15926,2513,6411,6303,3420,561,15923,638,282,44.2,325,50.9,8255,43399,20700,467,318,125,510,294,9268,868,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
