"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2025,"Brentford","Premier League","opponent",28,38,593,362,273,217,103,293,558,52.5,265,366,106,260,287,880,1036,32,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brest","Ligue 1","team",30,34,656,426,291,255,110,308,583,52.8,275,363,105,258,316,972,869,14,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brest","Ligue 1","opponent",30,34,491,294,223,204,64,245,454,54,209,347,88,259,300,791,808,22,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brighton","Premier League","team",32,38,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Brighton","Premier League","opponent",32,38,726,408,370,274,82,382,720,53.1,338,409,147,262,320,1046,981,33,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Cagliari","Serie A","team",28,38,538,303,264,224,50,238,449,53,211,343,131,212,276,814,887,18,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Cagliari","Serie A","opponent",28,38,568,338,270,220,78,274,502,54.6,228,396,117,279,268,836,920,16,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Celta Vigo","La Liga","team",30,38,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Celta Vigo","La Liga","opponent",30,38,608,382,307,234,67,312,566,55.1,254,454,122,332,390,998,740,17,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Chelsea","Premier League","team",29,38,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
