"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2025,"RB Leipzig","Bundesliga","opponent",29,34,73,1,0,344,351,68,660,298,329,3,4,2,1543,439,480,47.8,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",26,38,96,3,0,522,391,79,769,334,396,1,8,1,1688,485,540,47.3,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",26,38,78,4,1,422,499,50,678,314,398,7,1,3,1600,540,485,52.7,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Real Madrid","La Liga","team",30,38,57,4,0,332,518,85,578,331,359,11,3,1,1541,334,267,55.6,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",30,38,89,6,1,534,316,43,554,333,408,3,14,0,1467,267,334,44.4,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",31,38,85,4,0,501,417,82,740,283,401,3,7,0,1569,578,606,48.8,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",31,38,82,0,0,446,479,85,610,292,377,4,4,1,1530,606,578,51.2,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",34,34,66,6,2,392,372,59,611,289,359,1,5,0,1407,378,430,46.8,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",34,34,49,3,0,391,361,56,707,270,371,3,2,1,1457,430,378,53.2,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",35,34,67,2,0,445,382,48,580,337,363,4,6,2,1458,443,393,53,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",35,34,68,6,2,412,421,89,510,356,411,2,8,0,1482,393,443,47,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",28,38,66,1,1,405,484,59,636,282,328,6,4,1,1437,441,476,48.1,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",28,38,87,6,1,507,391,47,617,261,328,3,8,1,1436,476,441,51.9,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Saint-Étienne","Ligue 1","team",32,34,65,3,1,449,361,46,402,328,382,4,15,2,1428,342,386,47,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Saint-Étienne","Ligue 1","opponent",32,34,55,1,0,387,426,58,692,317,402,10,4,0,1544,386,342,53,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Sevilla","La Liga","team",35,38,98,8,3,494,402,70,612,367,390,1,6,1,1551,531,442,54.6,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Sevilla","La Liga","opponent",35,38,93,4,0,433,469,62,661,283,375,4,3,3,1409,442,531,45.4,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",36,38,89,3,0,459,421,49,548,305,378,2,9,0,1440,468,421,52.6,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",36,38,54,1,0,435,445,49,758,311,405,7,2,1,1635,421,468,47.4,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",28,34,53,4,3,353,352,66,600,257,315,2,5,1,1350,533,656,44.8,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",28,34,75,1,0,367,336,74,562,244,275,4,2,2,1351,656,533,55.2,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"Strasbourg","Ligue 1","team",30,34,71,3,1,393,417,48,496,282,335,2,9,2,1436,339,324,51.1,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",30,34,72,2,1,435,370,68,700,312,366,6,2,2,1517,324,339,48.9,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",29,34,72,5,3,358,411,62,637,298,282,4,3,1,1378,468,448,51.1,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",29,34,96,7,6,428,343,82,531,303,347,2,6,3,1435,448,468,48.9,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",31,38,80,3,1,483,386,57,675,278,261,2,7,2,1296,538,564,48.8,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",31,38,63,1,0,413,451,50,767,289,293,6,4,3,1407,564,538,51.2,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",31,38,72,1,1,446,483,63,752,322,414,4,3,4,1659,422,437,49.1,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",31,38,85,3,0,494,431,87,697,391,548,3,4,3,1652,437,422,50.9,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",27,34,54,3,0,441,415,46,580,281,364,4,2,3,1531,426,443,49,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",27,34,77,3,0,439,419,41,556,298,398,2,4,2,1508,443,426,51,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",31,38,88,5,3,543,379,50,679,302,346,2,8,5,1426,550,493,52.7,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",31,38,61,5,4,405,505,84,677,270,350,5,4,0,1411,493,550,47.3,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",28,34,72,1,0,419,313,67,608,312,318,3,6,1,1368,656,676,49.2,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",28,34,57,2,1,325,400,42,723,250,289,5,3,0,1322,676,656,50.8,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",32,38,86,1,0,442,446,72,763,302,415,4,9,3,1550,449,540,45.4,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",32,38,86,3,1,474,418,107,691,293,388,6,5,1,1589,540,449,54.6,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",38,38,91,5,2,459,486,67,671,311,357,3,7,1,1355,544,524,50.9,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",38,38,86,3,2,505,434,60,743,211,329,6,5,0,1489,524,544,49.1,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",36,38,75,2,2,503,451,58,529,279,361,4,11,3,1450,490,626,43.9,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",36,38,70,2,1,496,473,63,765,304,420,8,5,1,1589,626,490,56.1,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",31,38,96,4,1,442,463,77,674,281,396,6,8,1,1547,492,399,55.2,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",31,38,99,7,1,496,413,42,782,297,349,7,7,2,1493,399,492,44.8,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",23,34,75,4,3,335,402,72,667,315,321,4,3,3,1453,473,470,50.2,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"Werder Bremen","Bundesliga","opponent",23,34,81,8,5,423,318,72,593,317,306,2,5,1,1573,470,473,49.8,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"West Ham","Premier League","team",27,38,82,3,2,443,397,73,613,331,388,2,3,3,1558,587,560,51.2,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"West Ham","Premier League","opponent",27,38,56,1,0,410,428,55,811,298,435,3,3,3,1582,560,587,48.8,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"Wolfsburg","Bundesliga","team",27,34,75,3,0,350,366,49,574,312,301,4,3,1,1344,519,562,48,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolfsburg","Bundesliga","opponent",27,34,67,2,1,379,335,68,646,309,289,2,5,3,1389,562,519,52,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolves","Premier League","team",32,38,79,2,2,480,425,62,568,298,471,0,9,3,1659,451,475,48.7,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
2025,"Wolves","Premier League","opponent",32,38,85,3,1,442,465,76,714,308,422,9,0,1,1609,475,451,51.3,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
