"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Freiburg","Bundesliga","opponent",2,34,34,3060,34,49,1.44,135,86,63.7,11,7,16,8,23.5,4,0,3,1,100,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",1,38,38,3420,38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",1,38,38,3420,38,54,1.42,171,117,70.2,14,9,15,7,18.4,4,3,1,0,25,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",4,38,38,3420,38,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",4,38,38,3420,38,37,0.97,119,82,68.9,15,13,10,13,34.2,2,0,2,0,100,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",1,38,38,3420,38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",1,38,38,3420,38,34,0.89,127,93,77.2,18,9,11,16,42.1,5,5,0,0,0,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",3,38,38,3420,38,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",3,38,38,3420,38,44,1.16,139,95,71.2,19,8,11,11,28.9,5,4,1,0,20,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Gladbach","Bundesliga","team",4,34,34,3056,34,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",4,34,34,3060,34,55,1.62,158,104,67.7,15,6,13,6,17.6,5,4,1,0,20,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",2,34,34,3060,34,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",2,34,34,3060,34,37,1.09,129,92,75.2,21,5,8,14,41.2,5,5,0,0,0,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",2,38,38,3420,38,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",2,38,38,3420,38,34,0.89,97,66,67,21,7,10,17,44.7,2,2,0,0,0,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",2,34,34,3060,34,68,2,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",2,34,34,3060,34,46,1.35,151,105,71.5,16,11,7,9,26.5,3,3,0,0,0,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",2,34,34,3060,34,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",2,34,34,3060,34,49,1.44,138,88,67.4,21,7,6,7,20.6,5,4,1,0,20,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Inter","Serie A","team",2,38,38,3420,38,35,0.92,130,95,75.4,24,9,5,16,42.1,4,3,1,0,25,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",2,38,38,3420,38,79,2.08,187,111,62,5,9,24,4,10.5,9,8,0,1,0,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",3,38,38,3420,38,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",3,38,38,3420,38,36,0.95,122,87,72.1,24,10,4,14,36.8,2,2,0,0,0,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Juventus","Serie A","team",2,38,38,3420,38,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Juventus","Serie A","opponent",2,38,38,3420,38,58,1.53,181,125,71.3,4,16,18,7,18.4,6,6,0,0,0,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Las Palmas","La Liga","team",2,38,38,3420,38,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Las Palmas","La Liga","opponent",2,38,38,3420,38,40,1.05,138,99,73.2,22,8,8,11,28.9,4,3,1,0,25,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Lazio","Serie A","team",2,38,38,3420,38,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Lazio","Serie A","opponent",2,38,38,3420,38,61,1.61,192,131,71.4,9,11,18,6,15.8,7,6,1,0,14.3,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Le Havre","Ligue 1","team",2,34,34,3060,34,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Le Havre","Ligue 1","opponent",2,34,34,3060,34,40,1.18,107,69,71,20,4,10,9,26.5,10,9,1,0,10,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Lecce","Serie A","team",1,38,38,3420,38,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Lecce","Serie A","opponent",1,38,38,3420,38,27,0.71,123,95,80.5,20,10,8,18,47.4,4,3,1,0,25,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Leganés","La Liga","team",2,38,38,3420,38,56,1.47,175,122,72,9,13,16,11,28.9,8,7,0,1,0,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leganés","La Liga","opponent",2,38,38,3420,38,39,1.03,117,77,70.9,16,13,9,14,36.8,7,5,2,0,28.6,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leicester City","Premier League","team",3,38,38,3420,38,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Leicester City","Premier League","opponent",3,38,38,3420,38,33,0.87,108,74,71.3,25,7,6,17,44.7,3,2,1,0,33.3,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Lens","Ligue 1","team",3,34,34,3060,34,39,1.15,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Lens","Ligue 1","opponent",3,34,34,3060,34,42,1.24,153,113,75.8,12,7,15,10,29.4,5,5,0,0,0,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Leverkusen","Bundesliga","team",2,34,34,3060,34,43,1.26,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
2025,"Leverkusen","Bundesliga","opponent",2,34,34,3060,34,72,2.12,187,114,63.1,3,12,19,5,14.7,6,3,3,0,50,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
