"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Sevilla","La Liga","team",2,38,38,3420,38,55,1.45,148,93,66.2,10,11,17,10,26.3,6,5,1,0,16.7,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Sevilla","La Liga","opponent",2,38,38,3417,38,42,1.11,151,111,73.5,17,11,10,9,23.7,3,2,1,0,33.3,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",3,38,38,3420,38,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",3,38,38,3420,38,26,0.68,108,81,75.9,30,6,2,16,42.1,2,0,2,0,100,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",2,34,34,3060,34,41,1.21,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",2,34,34,3060,34,28,0.82,111,84,75.7,18,8,8,17,50,2,1,1,0,50,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"Strasbourg","Ligue 1","team",2,34,34,3060,34,44,1.29,169,126,78.7,16,9,9,10,29.4,9,8,1,0,11.1,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",2,34,34,3060,34,56,1.65,142,88,62,9,9,16,5,14.7,2,2,0,0,0,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",1,34,34,3060,34,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",1,34,34,3060,34,64,1.88,178,113,65.2,12,8,14,6,17.6,6,2,4,0,66.7,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",2,38,38,3420,38,45,1.18,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",2,38,38,3420,38,39,1.03,126,89,70.6,14,14,10,13,34.2,4,2,1,1,33.3,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",4,38,38,3420,38,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",4,38,38,3420,38,64,1.68,181,119,66.3,22,5,11,9,23.7,4,3,1,0,25,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",3,34,34,3060,34,43,1.26,108,67,61.1,11,9,14,10,29.4,2,1,1,0,50,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",3,34,34,3060,34,44,1.29,148,106,72.3,14,9,11,8,23.5,4,3,0,1,0,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",3,38,38,3420,38,56,1.47,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",3,38,38,3420,38,41,1.08,141,98,72.3,18,8,12,12,31.6,4,2,2,0,50,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",2,34,34,3060,34,50,1.47,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",2,34,34,3060,34,36,1.06,123,87,73.2,13,11,10,13,38.2,3,3,0,0,0,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",2,38,38,3420,38,54,1.42,148,95,67.6,11,13,14,8,21.1,9,6,2,1,25,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",2,38,38,3420,38,44,1.16,121,78,67.8,14,13,11,10,26.3,5,5,0,0,0,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",3,38,38,3420,38,90,2.37,204,115,59.3,4,4,30,5,13.2,7,7,0,0,0,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",3,38,38,3420,38,26,0.68,102,76,79.4,30,4,4,16,42.1,5,5,0,0,0,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",3,38,38,3420,38,56,1.47,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",3,38,38,3420,38,32,0.84,125,93,77.6,19,14,5,17,44.7,5,4,1,0,20,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",2,38,38,3420,38,51,1.34,160,110,72.5,20,10,8,7,18.4,8,7,0,1,0,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",2,38,38,3419,38,71,1.87,178,107,62.9,8,10,20,6,15.8,7,5,2,0,28.6,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",1,34,34,3060,34,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"Werder Bremen","Bundesliga","opponent",1,34,34,3060,34,54,1.59,143,88,64.3,11,9,14,9,26.5,5,3,2,0,40,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"West Ham","Premier League","team",2,38,38,3420,38,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"West Ham","Premier League","opponent",2,38,38,3420,38,46,1.21,140,97,69.3,17,10,11,8,21.1,3,3,0,0,0,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"Wolfsburg","Bundesliga","team",2,34,34,3060,34,54,1.59,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolfsburg","Bundesliga","opponent",2,34,34,3060,34,56,1.65,142,88,63.4,13,10,11,7,20.6,5,4,1,0,20,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolves","Premier League","team",4,38,38,3420,38,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
2025,"Wolves","Premier League","opponent",4,38,38,3420,38,54,1.42,155,102,65.2,20,6,12,7,18.4,0,0,0,0,NA,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
