"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2025,"Osasuna","La Liga","opponent",2,38,48,9,2,6,2,41.2,0.27,-4.8,-0.13,128,413,31,885,167,31.4,33,285,47.4,40.5,615,26,4.2,34,0.89,14.2,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",3,34,35,3,1,6,1,30.4,0.28,-3.6,-0.11,74,188,39.4,818,140,17.8,29.1,156,26.9,26.4,298,16,5.4,34,1,18,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",3,34,92,6,1,5,3,99.4,0.35,10.4,0.31,215,546,39.4,849,124,47.3,39.7,287,50.2,36.8,436,19,4.4,20,0.59,11.8,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Parma","Serie A","team",2,38,58,5,3,6,2,54.2,0.32,-1.8,-0.05,207,697,29.7,1237,190,44.4,33.9,322,46,40,643,67,10.4,40,1.08,16.3,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",2,38,44,6,0,8,1,40.8,0.25,-2.2,-0.06,121,349,34.7,959,182,26.5,30.9,260,36.5,34,326,21,6.4,39,1.03,14.4,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",2,34,48,2,1,8,0,50,0.31,2,0.06,98,261,37.5,824,167,21.2,28.6,251,34.3,34.1,512,30,5.9,45,1.32,14.8,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"RB Leipzig","Bundesliga","opponent",2,34,53,3,1,4,2,50.7,0.33,-0.3,-0.01,183,473,38.7,1017,136,36.4,34.8,216,47.7,38.9,449,24,5.3,38,1.12,15.3,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",2,38,45,6,0,6,1,45.7,0.26,1.7,0.04,203,640,31.7,1032,150,47.2,38.2,319,48,40.6,532,37,7,39,1.03,14.4,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",2,38,41,0,1,6,3,37.3,0.23,-0.7,-0.02,176,543,32.4,960,173,39.8,37.4,340,47.4,40.4,595,31,5.2,41,1.08,13.4,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Real Madrid","La Liga","team",3,38,38,3,0,7,1,35.9,0.28,-1.1,-0.03,84,258,32.6,960,205,19.9,24,279,24,29.3,416,19,4.6,27,0.71,12,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
