"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2025,"Real Madrid","La Liga","team",30,26.6,60.4,38,418,3420,38,78,55,133,68,10,14,57,4,75.3,64.5,54.6,119,983,1967,2.05,1.45,3.5,1.79,3.24,1.98,1.44,3.42,1.7,3.13,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Madrid","La Liga","opponent",30,26.7,39.6,38,418,3420,38,37,27,64,34,3,3,89,6,42.8,40.8,32,72.8,648,1168,0.97,0.71,1.68,0.89,1.61,1.13,0.84,1.97,1.07,1.92,"https://fbref.com/en/squads/53a2f082/2024-2025/Real-Madrid-Stats"
2025,"Real Sociedad","La Liga","team",31,25.2,53.8,38,418,3420,38,34,22,56,30,4,4,85,4,42.5,39.3,30.9,70.3,645,1341,0.89,0.58,1.47,0.79,1.37,1.12,0.81,1.93,1.03,1.85,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Real Sociedad","La Liga","opponent",31,26.8,46.2,38,418,3420,38,46,32,78,41,5,7,82,0,43.9,38.3,29,67.3,538,1141,1.21,0.84,2.05,1.08,1.92,1.16,0.76,1.92,1.01,1.77,"https://fbref.com/en/squads/e31d1cd9/2024-2025/Real-Sociedad-Stats"
2025,"Reims","Ligue 1","team",34,24.5,44.1,34,374,3060,34,32,19,51,31,1,2,66,6,37.4,35.9,26.5,62.3,586,1156,0.94,0.56,1.5,0.91,1.47,1.1,0.78,1.88,1.06,1.83,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Reims","Ligue 1","opponent",34,25.9,55.9,34,374,3060,34,47,32,79,43,4,5,49,3,57.4,53.5,40.5,94.1,663,1636,1.38,0.94,2.32,1.26,2.21,1.69,1.19,2.88,1.57,2.77,"https://fbref.com/en/squads/7fdd64e0/2024-2025/Reims-Stats"
2025,"Rennes","Ligue 1","team",35,25.1,50.9,34,374,3060,34,51,32,83,46,5,8,67,2,48.6,42.7,29.6,72.4,663,1440,1.5,0.94,2.44,1.35,2.29,1.43,0.87,2.3,1.26,2.13,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Rennes","Ligue 1","opponent",35,25.8,49.1,34,374,3060,34,48,37,85,45,3,6,68,6,46,41.4,33.7,75.2,575,1144,1.41,1.09,2.5,1.32,2.41,1.35,0.99,2.35,1.22,2.21,"https://fbref.com/en/squads/b3072e00/2024-2025/Rennes-Stats"
2025,"Roma","Serie A","team",28,26.5,53.9,38,418,3420,38,55,35,90,47,8,8,66,1,53,46.7,35,81.7,691,1501,1.45,0.92,2.37,1.24,2.16,1.39,0.92,2.32,1.23,2.15,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
2025,"Roma","Serie A","opponent",28,26.3,46.1,38,418,3420,38,34,21,55,30,4,4,87,6,40.9,37.7,26.7,64.4,668,1278,0.89,0.55,1.45,0.79,1.34,1.08,0.7,1.78,0.99,1.7,"https://fbref.com/en/squads/cf74a709/2024-2025/Roma-Stats"
